BA,NOM 1,NOM 2,Contact Magazine Debout,Président,ADRESSE 1,ADRESSE 2,CP,VILLE,TELEPHONE,MAIL,OUVERTURE
BA01,BANQUE ALIMENTAIRE ,DE L'AIN,Martine ROBIN et Monique DEBOST CINELLI,Gilles BOLLARD,,1 rue Suzanne Valadon,01000,BOURG-EN-BRESSE,04 74 32 24 74,BA010@banquealimentaire.org,"du lundi au vendredi, le matin"
BA02,BANQUE ALIMENTAIRE ,DE L'AISNE,"Patrick BIDARD, Daniel DUVAL, Philippe Tanière",François CHEMERY,,28 CHEMIN DE LEHAUCOURT,02100,SAINT-QUENTIN,03 23 64 36 82,BA020@banquealimentaire.org,"du lundi au vendredi, le matin"
BA04,BANQUE ALIMENTAIRE ,DES ALPES-DU-SUD,Edith Pannellier,Patrice AUTIER,ZONE ARTISANALE LES BOUILLOUETTES,124 RUE MARIE CURIE,04700,ORAISON,09 77 35 47 74,BA040@banquealimentaire.org,"du lundi au vendredi, le matin"
BA06,BANQUE ALIMENTAIRE ,DES ALPES-MARITIMES,Jean Pierre CARON,François MULLER,2 CHEMIN DES ECOLES,LINGOSTIERE,06200,NICE,04 92 10 05 31,BA060@banquealimentaire.org,"du lundi au vendredi, le matin"
BA08,BANQUE ALIMENTAIRE ,DES ARDENNES,André Bouchet,,,8 rue André-Marie Ampère,08000,CHARLEVILLE-MEZIERES,03 24 56 22 21,BA080@banquealimentaire.org,"du lundi au vendredi, le matin"
BA10,BANQUE ALIMENTAIRE ,DE L'AUBE,Gilles DAVENNES,Jean-Claude SOUVERAIN,,1 RUE DE LA GARE,10600,LA CHAPELLE SAINT-LUC,03 25 42 19 61,BA100@banquealimentaire.org,"du lundi au vendredi, le matin"
BA11,BANQUE ALIMENTAIRE ,DE L'AUDE,François LASNIER Christiane PUJOL,Jacques PÉRIN,75 rue Édouard Branly (ex. Établissement PILPA), Z.I. la Bouriette,11000,CARCASSONNE,09 71 48 91 99,BA110@banquealimentaire.org,"du lundi au vendredi, le matin"
BA12,BANQUE ALIMENTAIRE ,AVEYRON - LOZERE,Yves Carpentier,Claude PLENECASSAGNE,ZA BEL AIR,RUE SAINT CHRISTOPHE,12000,RODEZ,05 65 78 78 46,BA120@banquealimentaire.org,"du lundi au vendredi, le matin"
BA13,BANQUE ALIMENTAIRE ,BOUCHES-DU-RHONE,Philippe Mainot et Philippe AMARGER,Gérard GROS,MASTER PARK LOTS 17-18,116 BD DE LA POMME,13011,MARSEILLE,04 91 45 40 00,BA130@banquealimentaire.org,"du lundi au vendredi, le matin"
BA14,BANQUE ALIMENTAIRE ,DU CALVADOS,Elisabeth Storez,Jean-Louis BOILEAU,ZONE ARTISANALE,4 AVENUE DU FRESNE ,14760,BRETTEVILLE-SUR-ODON,02 31 83 55 30,BA140@banquealimentaire.org,"du lundi au vendredi, le matin"
BA16,BANQUE ALIMENTAIRE ,DE CHARENTE,Florence POIBLEAU ,Jean-Jacques POUPOT,,19 RUE PIERRE LOTI,16340,L'ISLE D'ESPAGNAC,05 45 95 56 08,BA160@banquealimentaire.org,"du lundi au vendredi, le matin"
BA17,BANQUE ALIMENTAIRE ,DE CHARENTE-MARITIME,Jean Claude DELON,Gilles JOUINOT,,6 RUE JACQUES DE VAUCANSON,17184,PERIGNY CEDEX,05 46 45 39 73,BA170@banquealimentaire.org,"du lundi au vendredi, le matin"
BA18,BANQUE ALIMENTAIRE ,DU CHER,Françoise Léger,Jacques LAFFITTE,,RUE DE LA GARE DES MARCHANDISES,18000,BOURGES,02 48 65 01 96,BA180@banquealimentaire.org,"du lundi au vendredi, le matin"
BA19,BANQUE ALIMENTAIRE ,DE CORREZE,Jean Louis MAUMONT,Nicole THIRIET,ZA EST,8 RUE LOUIS LEPINE,19100,BRIVE-LA-GAILLARDE,05 55 23 06 36,BA190@banquealimentaire.org,"du lundi au vendredi, le matin"
BA21,BANQUE ALIMENTAIRE ,DE BOURGOGNE,Agnès Beutin et Thérèse Dieu,Alain GERBET,,16 RUE DE LA HOUE,21800,QUETIGNY,03 80 46 61 61,BA210@banquealimentaire.org,"du lundi au vendredi, le matin"
BA22,BANQUE ALIMENTAIRE ,DES COTES D'ARMOR,Marie Thérèse Brizard,Jean-Paul GALLIOU,,126 RUE DE L'AERODROME,22300,LANNION,02 96 37 13 23,BA220@banquealimentaire.org,"du lundi au vendredi, le matin"
BA23,BANQUE ALIMENTAIRE ,DE LA CREUSE,Nicole SUDRON,Alain GRAVILLON,,11 ZA LE CLOCHER,23000,ST SULPICE LE GUERETOIS,05 55 51 28 46,BA230@banquealimentaire.org,"du lundi au vendredi, le matin"
BA24,BANQUE ALIMENTAIRE ,DE DORDOGNE,"Annie ENDURAN, Jeannine TORRENT, Yves FOURNIER, Huguette BERON",René LE GOFF,,CHEMIN DU CLAUD DE L'EAU,24430,MARSAC-SUR-L'ISLE,05 53 03 41 91,BA240@banquealimentaire.org,"du lundi au vendredi, le matin"
BA25,BANQUE ALIMENTAIRE ,"DU DOUBS, HAUTE-SAONE, TERRITOIRE-DE-BELFORT",Bernard Damy/Bibiane Barsot,Claude KOESLER,LES PRES DE VAUX,10 AVENUE DE CHARDONNET,25000,BESANCON,03 81 80 96 06,BA250@banquealimentaire.org,"du lundi au vendredi, le matin"
BA26,BANQUE ALIMENTAIRE ,ARDECHE - DROME,"Brigitte GAUTHIER, Jean Marie DENEJEAN",Jean-Pierre SERAFINI,ZA DES AUREATS,ALLEE BERNARD PALISSY,26000,VALENCE,04 75 57 37 05,BA260@banquealimentaire.org,"du lundi au vendredi, le matin"
BA27,BANQUE ALIMENTAIRE ,DE L' EURE,Arlette SANCHEZ,Philippe ZACHARIE,,16 RUE DU DOCTEUR BAUDOUX,27000,EVREUX,02 32 38 35 54,BA270@banquealimentaire.org,"du lundi au vendredi, le matin"
BA28,BANQUE ALIMENTAIRE ,DE L EURE ET LOIR,Christian BOILE,Roseline LOUBRY,EX BASE AERIENNE 122,ALLEE DU GENERAL MARTIAL VALIN,28000,CHARTRES,02 37 35 49 45,BA280@banquealimentaire.org,"du lundi au vendredi, le matin"
